Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
J328,328 SUPPORT SERVICES,Dornier 328JET,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
UL45,3XTRIM,450 Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
UL45,3XTRIM,Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,550 Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
UL45,3XTRIM,3X-47 Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,3X-55 Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,3X-LS Navigator 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,Navigator 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CE22,A-41,VNS-41,Amphibian,Piston,2,L,@Fixed-wing,2P,S,Light,I,II,
ELSP,A2 CZ,Ellipse Spirit,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
PETR,AAC,SeaStar,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
BMAN,AAK,Bushman,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
HRNT,AAK,Hornet,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
WSP,AAK,Wasp,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
FMGO,AAK,Flamingo,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A9,AAMSA,A-9 Quail,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A9,AAMSA,Quail,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
