Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
KFAT,KLAX,..PONDD..TAFTO..MUPTT,TRUE,AoB FL230
KMRY,KLAX,..TOKIO,TRUE,AoB FL230
KMRY,KLAX,..MQO,FALSE,AoB FL230
^(?!KFAT|KMRY).*,KLAX,..BURGL,TRUE,
^(?!KFAT|KMRY).*,KLAX,..REBRG,TRUE,
^(?!KFAT|KMRY).*,KLAX,..DOUIT,TRUE,
^(?!KFAT|KMRY).*,KLAX,..DERBB,FALSE,
^(?!KFAT|KMRY).*,KLAX,..BURGL.BAYST STAR,TRUE,"JETS, Only for known cargo aircraft on or west of J501"
^(?!KFAT|KMRY).*,KLAX,..TILLT.DIRBY STAR,TRUE,"JETS, Only for known cargo aircraft on or west of J501"
^(?!KFAT|KMRY).*,KLAX,..MCKEY.LEENA STAR,FALSE,"JETS, Only for known cargo aircraft on or west of J501"
.*,KSMO,..BURGL,TRUE,AoB FL310
.*,KSMO,..HONKZ,TRUE,AoB FL310
.*,KSMO,..MMTLY,TRUE,AoB FL310
.*,KSMO,..RDHOT,TRUE,AoB FL310
.*,KSMO,..REBRG,TRUE,AoB FL310
.*,KSMO,..AVE,FALSE,AoB FL310
.*,KSMO,..FLW,FALSE,AoB FL310
.*,KSMO,..REBRG.J7.DERBB,FALSE,AoB FL310
.*,KLAX|KSMO,..PAIDD,TRUE,"PROPS East of J1, AoB FL230"
.*,KLAX|KSMO|HWR,..EHF,FALSE,"PROPS East of J1, AoB FL230"
.*,KLAX|KSMO|HWR,..LHS,FALSE,"PROPS East of J1, AoB FL230"
.*,KLAX|HWR,..AVE,FALSE,"PROPS West of J1, AoB FL230"
.*,KLAX|KSMO|HWR,..FLW,FALSE,"PROPS West of J1, AoB FL230"
.*,KLAX|KSMO|HWR,..RZS,FALSE,"PROPS West of J1, AoB FL230"
.*,KLGB|KSNA,..TILLT,TRUE,
.*,KLGB|KSNA,..RDHOT,TRUE,
.*,KLGB|KSNA,..MMTLY,TRUE,
.*,KLGB|KSNA,..ELLBC,TRUE,
.*,KLGB|KSNA,..REBRG,TRUE,
.*,KLGB|KSNA,..AVE,FALSE,
.*,KLGB|KSNA,..FLW,FALSE,
.*,KLGB|KSNA,..MCKEY..DAISY..BENET,FALSE,
